Gün;GünlükVaka;ToplamVaka;Gunlukiyilesensayisi;Toplamiyilesensayisi;Gunlukolensayisi;Toplamolensayisi;Gunluktestsayisi;Toplamtestsayisi;id;tarihgun;tarihay;tarihyil
8;168;359;0;0;2;4;1981;11636;1;19;Mart;2020
9;311;670;0;0;5;9;3656;15292;2;20;Mart;2020
10;277;947;0;0;12;21;2953;18245;3;21;Mart;2020
11;289;1236;0;0;9;30;2100;20345;4;22;Mart;2020
12;293;1529;0;0;7;37;3672;24017;5;23;Mart;2020
13;343;1972;0;0;7;44;3952;27969;6;24;Mart;2020
14;561;2433;0;0;15;59;5035;33004;7;25;Mart;2020
15;1196;3629;0;0;16;75;7286;40290;8;26;Mart;2020
16;2069;5698;42;42;17;92;7533;47823;9;27;Mart;2020
17;1704;7402;28;70;16;108;7641;55464;10;28;Mart;2020
18;1815;9217;35;105;23;131;9982;65446;11;29;Mart;2020
19;1610;10827;57;162;37;168;11535;76981;12;30;Mart;2020
20;2704;13531;81;243;46;214;15422;92403;13;31;Mart;2020
21;2148;15679;90;333;63;277;14396;106799;14;1;Nisan;2020
22;2456;18135;82;415;79;356;18757;125556;15;2;Nisan;2020
23;2786;20921;69;484;69;425;16160;141716;16;3;Nisan;2020
24;3013;23934;302;786;76;501;19664;161380;17;4;Nisan;2020
25;3135;27069;256;1042;73;574;20065;181445;18;5;Nisan;2020
26;3148;30217;284;1326;75;649;21400;202845;19;6;Nisan;2020
27;3892;34109;256;1582;76;725;20023;222868;20;7;Nisan;2020
28;4117;38226;264;1846;87;812;24900;247768;21;8;Nisan;2020
29;4056;42282;296;2142;96;908;28578;276346;22;9;Nisan;2020
30;4747;47029;281;2423;98;1006;30864;307210;23;10;Nisan;2020
31;5138;52167;542;2965;95;1101;33170;340380;24;11;Nisan;2020
32;4789;56956;481;3446;97;1198;35720;376100;36;12;Nisan;2020
33;4093;61049;511;3957;98;1296;34456;410556;37;13;Nisan;2020
34;4062;65111;842;4799;107;1403;33070;443626;38;14;Nisan;2020
35;4281;69392;875;5674;115;1518;34090;477716;39;15;Nisan;2020
36;4801;74193;1415;7089;125;1643;40427;518143;40;16;Nisan;2020
37;4353;78546;1542;8631;126;1769;40270;558413;41;17;Nisan;2020
38;3783;82329;1822;10453;121;1890;40520;598933;42;18;Nisan;2020
39;3977;86306;1523;11976;127;2017;35344;634277;44;19;Nisan;2020
40;4674;90980;1454;13430;123;2140;39703;673980;1043;20;Nisan;2020
41;4611;95591;1488;14918;119;2259;39429;713409;1044;21;Nisan;2020
42;3083;98674;1559;16477;117;2376;37535;750944;2043;22;Nisan;2020
43;3116;101790;2014;18491;115;2491;40962;791906;2044;23;Nisan;2020
44;3122;104912;3246;21737;109;2600;38351;830257;2045;24;Nisan;2020
45;2861;107773;3845;25582;106;2706;38308;868565;2046;25;Nisan;2020
46;2357;110130;3558;29140;99;2805;30177;898742;2047;26;Nisan;2020
47;2131;112261;4651;33791;95;2900;20143;918885;2048;27;Nisan;2020
48;2392;114653;5018;38809;92;2992;29230;948115;2049;28;Nisan;2020
49;2936;117589;5231;44040;89;3081;43498;991613;2050;29;Nisan;2020
50;2615;120204;4846;48886;93;3174;42004;1033617;3048;30;Nisan;2020
51;2188;122392;4922;53808;84;3258;41431;1075048;3049;1;Mayıs;2020
52;1983;124375;4451;58259;78;3336;36318;1111366;3050;2;Mayıs;2020
53;1670;126045;4892;63151;61;3397;24001;1135367;4048;3;Mayıs;2020
54;1614;127659;5015;68166;64;3461;35771;1171138;4049;4;Mayıs;2020
55;1832;129491;5119;73285;59;3520;33283;1204421;4050;5;Mayıs;2020
56;2253;131744;4917;78202;64;3584;30303;1234724;4051;6;Mayıs;2020
57;1977;133721;4782;82984;57;3641;30395;1265119;4056;7;Mayıs;2020
58;1848;135569;3412;86396;48;3689;33687;1298806;4057;8;Mayıs;2020
59;1546;137115;3084;89480;50;3739;35605;1334411;4058;9;Mayıs;2020
60;1542;138657;3211;92691;47;3786;36187;1370598;4059;10;Mayıs;2020
61;1114;139771;3089;95780;55;3841;32722;1403320;4060;11;Mayıs;2020
62;1704;141475;3109;98889;53;3894;37351;1440671;4061;12;Mayıs;2020
63;1639;143114;2826;101715;58;3952;33332;1474003;4062;13;Mayıs;2020
64;1635;144749;2315;104030;55;4007;34821;1508824;4063;14;Mayıs;2020
65;1708;146457;2103;106133;48;4055;38565;1547389;4064;15;Mayıs;2020
66;1610;148067;2004;108137;41;4096;42236;1589625;4065;16;Mayıs;2020
67;1368;149435;1825;109962;44;4140;35369;1624994;4066;17;Mayıs;2020
68;1158;150593;1615;111577;31;4171;25141;1650135;4067;18;Mayıs;2020
69;1022;151615;1318;112895;28;4199;25382;1675517;4068;19;Mayıs;2020
70;972;152587;1092;113987;23;4222;20838;1696355;4069;20;Mayıs;2020
71;961;153548;1003;114990;27;4249;33633;1729988;4070;21;Mayıs;2020
72;952;154500;1121;116111;27;4276;37507;1767495;4071;22;Mayıs;2020
73;1186;155686;1491;117602;32;4308;40178;1807673;4072;23;Mayıs;2020
74;1141;156827;1092;118694;32;4340;24589;1832262;4073;24;Mayıs;2020
75;987;157814;1321;120015;29;4369;21492;1853754;4074;25;Mayıs;2020
76;948;158762;1492;121507;28;4397;19853;1873607;4075;26;Mayıs;2020
77;1035;159797;1286;122793;34;4431;21043;1894650;4076;27;Mayıs;2020
78;1182;160979;1576;124369;30;4461;33559;1928209;4077;28;Mayıs;2020
79;1141;162120;1594;125963;28;4489;36155;1964364;4078;29;Mayıs;2020
80;983;163103;1021;126984;26;4515;39230;2003594;4079;30;Mayıs;2020
81;839;163942;989;127973;25;4540;35600;2039194;4080;31;Mayıs;2020
82;827;164769;974;128947;23;4563;31525;2070719;4081;1;Haziran;2020
83;786;165555;974;129921;22;4585;32325;2103044;4082;2;Haziran;2020
84;867;166422;931;130852;24;4609;52305;2155349;4083;3;Haziran;2020
85;988;167410;926;131778;21;4630;54234;2209583;4084;4;Haziran;2020
86;930;168340;1622;133400;18;4648;57829;2267412;4085;5;Haziran;2020
87;878;169218;1922;135322;21;4669;35846;2303258;4086;6;Haziran;2020
88;914;170132;2647;137969;23;4692;35335;2338593;4087;7;Haziran;2020
89;989;171121;3411;141380;19;4711;39361;2377954;4088;8;Haziran;2020
90;993;172114;3218;144598;18;4729;37225;2415179;4089;9;Haziran;2020
91;922;173036;2241;146839;17;4746;36521;2451700;4090;10;Haziran;2020
92;987;174023;1021;147860;17;4763;49190;2500890;4091;11;Haziran;2020
93;1195;175218;1242;149102;15;4778;41013;2541903;4092;12;Haziran;2020
94;1459;176677;985;150087;14;4792;45092;2586995;4093;13;Haziran;2020
95;1562;178239;1330;151417;15;4807;45176;2632171;4094;14;Haziran;2020
96;1592;179831;947;152364;18;4825;42032;2674203;4095;15;Haziran;2020
97;1467;181298;1015;153379;17;4842;46800;2721003;4096;16;Haziran;2020
98;1429;182727;1261;154640;19;4861;52901;2773904;4097;17;Haziran;2020
99;1304;184031;1382;156022;21;4882;48412;2822316;4098;18;Haziran;2020
100;1214;185245;1494;157516;23;4905;41316;2863632;4099;19;Haziran;2020
101;1248;186493;1312;158828;22;4927;41112;2904744;4100;20;Haziran;2020
102;1192;187685;1412;160240;23;4950;40496;2945240;4101;21;Haziran;2020
103;1212;188897;1293;161533;24;4974;41413;2986653;4102;22;Haziran;2020
104;1268;190165;1315;162848;27;5001;42982;3029635;4103;23;Haziran;2020
105;1492;191657;1386;164234;24;5025;53486;3083121;4104;24;Haziran;2020
106;1458;193115;1472;165706;21;5046;52303;3135424;4105;25;Haziran;2020
107;1396;194511;1492;167198;19;5065;51198;3186622;4106;26;Haziran;2020
108;1372;195883;1984;169182;17;5082;45213;3231835;4107;27;Haziran;2020
109;1356;197239;1413;170595;15;5097;48309;3280144;4108;28;Haziran;2020
110;1374;198613;1214;171809;18;5115;51014;3331158;4109;29;Haziran;2020
111;1293;199906;1302;173111;16;5131;50492;3381650;4110;30;Haziran;2020
112;1192;201098;2311;175422;19;5150;52313;3433963;4111;1;Temmuz;2020
113;1186;202284;1543;176965;17;5167;49714;3483677;4112;2;Temmuz;2020
114;1172;203456;1313;178278;19;5186;52141;3535818;4113;3;Temmuz;2020
115;1154;204610;1214;179492;20;5206;48248;3584066;4114;4;Temmuz;2020
116;1148;205758;1188;180680;19;5225;46414;3630480;4115;5;Temmuz;2020
117;1086;206844;2315;182995;16;5241;52193;3682673;4116;6;Temmuz;2020
118;1053;207897;2297;185292;19;5260;50545;3733218;4117;7;Temmuz;2020
119;1041;208938;2219;187511;22;5282;49302;3782520;4118;8;Temmuz;2020
120;1024;209962;2879;190390;18;5300;50103;3832623;4119;9;Temmuz;2020
121;1003;210965;1493;191883;23;5323;48787;3881410;4120;10;Temmuz;2020
122;1016;211981;1334;193217;21;5344;48813;3930223;4121;11;Temmuz;2020
123;1012;212993;1298;194515;19;5363;45232;3975455;4122;12;Temmuz;2020
124;1008;214001;1156;195671;19;5382;46492;4021947;4123;13;Temmuz;2020
125;992;214993;1049;196720;20;5402;43231;4065178;4124;14;Temmuz;2020
126;947;215940;1013;197733;17;5419;42320;4107498;4125;15;Temmuz;2020
127;933;216873;1087;198820;21;5440;42411;4149909;4126;16;Temmuz;2020
128;926;217799;1014;199834;18;5458;41215;4191124;4127;17;Temmuz;2020
129;918;218717;1179;201013;17;5475;40943;4232067;4128;18;Temmuz;2020
130;924;219641;997;202010;16;5491;41310;4273377;4129;19;Temmuz;2020
131;931;220572;992;203002;17;5508;43404;4316781;4130;20;Temmuz;2020
132;928;221500;1009;204011;18;5526;42846;4359627;4131;21;Temmuz;2020
133;902;222402;1203;205214;19;5545;43404;4403031;4132;22;Temmuz;2020
134;913;223315;1151;206365;18;5563;43343;4446374;4133;23;Temmuz;2020
135;937;224252;1009;207374;17;5580;42986;4489360;4134;24;Temmuz;2020
136;921;225173;1103;208477;16;5596;43312;4532672;4135;25;Temmuz;2020
137;927;226100;1010;209487;17;5613;40016;4572688;4136;26;Temmuz;2020
138;919;227019;982;210469;17;5630;45283;4617971;4137;27;Temmuz;2020
139;963;227982;1092;211561;15;5645;47412;4665383;4138;28;Temmuz;2020
140;942;228924;996;212557;14;5659;45712;4711095;4139;29;Temmuz;2020
141;967;229891;982;213539;15;5674;43236;4754331;4140;30;Temmuz;2020
142;982;230873;996;214535;17;5691;46492;4800823;4141;31;Temmuz;2020
143;996;231869;981;215516;19;5710;44846;4845669;4142;1;Ağustos;2020
144;987;232856;978;216494;18;5728;40247;4885916;4143;2;Ağustos;2020
145;995;233851;1003;217497;19;5747;41301;4927217;4144;3;Ağustos;2020
146;1083;234934;994;218491;18;5765;46249;4973466;4145;4;Ağustos;2020
